text_incipit_standard Copy,composerStandard,positionMS,folio_start,folio_end,compositionKey,orderNo
When I was otherwise than now,William Byrd,95,157,157,48447,55042
"In nomine I (a4, with added part)",Brewster (Brusser; Bruster; Brusters),96,158,159,49463,55043
"O God, wherefore art thou absent",no composer/anon,97,160,168,53760,55044
When I look back,Robert Parsons (1),98,169,170,48894,55045
"Come, Holy Ghost/In nomine",no composer/anon,99,171,171,53761,55046
O Lord of whom I do depend/In nomine,no composer/anon,100,171,171,53762,55047
"O Lord, turn not away thy face/In nomine",no composer/anon,101,171,171,53763,55048
When May is in his prime,no composer/anon,102,172,173,53764,55049
"Ah, alas, you salt sea gods",Richard Farrant,103,174,174,48924,55050
A doleful deadly pang,"Nicholas Strogers (Strowger, Strowgers)",104,175,175,49080,55051
My little sweet darling,no composer/anon,105,175,175,53765,55052
"Ah, silly poor Joas",no composer/anon,106,176,176,53766,55053
In terrors trapp'd,no composer/anon,107,176,176,53767,55054
The saint I serve,no composer/anon,108,177,177,53768,55055
How can the tree,no composer/anon,109,177,177,53769,55056
"Alas, alack, my heart is woe",no composer/anon,110,178,178,53770,55057
"Lullaby, my sweet little baby",William Byrd,111,178,178,48448,55058
"O Lord, how vain",William Byrd,112,179,179,48449,55059
My mind to me a kingdom is,William Byrd,113,179,179,48450,55060
Who likes to love,William Byrd,114,180,180,48451,55061
Enforc'd by love and fear,Robert Parsons (1),115,180,180,48901,55062
Mistrust not truth,no composer/anon,116,181,181,53771,55063
The day delay'd,no composer/anon,117,181,181,53772,55064
Come tread the paths,no composer/anon,118,181,182,53773,55065
Triumph with pleasant melody,William Byrd,119,183,183,48452,55066
Blessed is he that fears the Lord,William Byrd,120,184,184,48453,55067
Blame I confess,William Byrd,121,184,184,48454,55068
"O Lord, within thy tabernacle",William Byrd,122,185,185,48455,55069
How shall a young man?,William Byrd,123,186,186,48456,55070
Though Amaryllis dance in green,William Byrd,124,186,187,48457,55071
La gamba,Vincenzo Ruffo,125,192,192,52134,55072
