text_incipit_standard Copy,composerStandard,positionMS,folio_start,folio_end,compositionKey,orderNo
[Lamentations] Heth. Peccatum peccavit,Robert White (Whyte),1,3,8,48807,55073
"Miserere mei, Deus",Robert White,2,9,14,51468,55074
"[Christe, qui lux es (I)] Precamur",Robert White (Whyte),3,15,15,48809,55075
"[Christe, qui lux es (II)] Precamur",Robert White (Whyte),4,16,16,48810,55076
"[Christe, qui lux es (III)] Precamur",Robert White (Whyte),5,17,17,48811,55077
Manus tuae fecerunt me,Robert White (Whyte),6,18,20,48812,55078
"Portio mea, Domine",Robert White (Whyte),7,21,21,48813,55079
"Justus es, Domine",Robert White (Whyte),8,22,23,48814,55080
Ne irascaris,William Byrd,9,24,25,51818,55081
O Domine adjuva me,William Byrd,10,26,27,48407,55082
Tribulationes civitatum,William Byrd,11,28,29,51819,55083
Domine exaudi,William Byrd,12,30,32,51808,55084
Domine praestolamur,William Byrd,13,33,34,51817,55085
Ad te clamamus,Christopher Tye,14,35,35,49482,55086
Omnes gentes plaudite manibus,Christopher Tye,15,36,37,49483,55087
[Magnificat] Esurientes,John Sheppard (Shepherd),16,38,38,50430,55088
Angelus ad pastores ait,"Orlande de Lassus (Roland, Orlandi di Lasso)",17,39,39,30325,55089
Veni in hortum meum,"Orlande de Lassus (Roland, Orlandi di Lasso)",18,40,40,35344,55090
O salutaris hostia,"Thomas Tallis (Tallys, Talles)",19,41,41,48683,55091
Salvator mundi (I),"Thomas Tallis (Tallys, Talles)",20,42,42,48684,55092
[Candidi] Facti sunt,"Thomas Tallis (Tallys, Talles)",21,43,43,48685,55093
[Dum transisset] Sabbatum,Robert (i) Johnson,22,44,44,48908,55094
Exaudiat te Dominus,Robert White (Whyte),23,45,46,48815,55095
Tribulationem et dolorem inveni,Alfonso the elder Ferrabosco,24,47,47,49374,55096
Non me vincat Deus,"Nicholas Strogers (Strowger, Strowgers)",25,48,49,49076,55097
Dum transisset sabbatum (I),John Taverner,26,50,50,50649,55098
Tribulatio proxima est,William Byrd,27,51,52,48411,55099
Appropinquet deprecatio mea,Robert White (Whyte),28,53,55,48816,55100
Christus resurgens,John Tailer,29,56,56,51347,55101
O quam gloriosum est regnum,William Byrd,30,57,58,51801,55102
Tristitia et anxietas,William Byrd,31,59,61,48413,55103
Apparebit in finem,William Byrd,32,62,62,48414,55104
Audivi vocem de caelo,William Byrd,33,63,64,51803,55105
In resurrectione tua,William Byrd,34,65,65,48416,55106
Retribue servo tuo,Robert Parsons (1),35,66,68,48877,55107
Fac cum servo tuo,William Byrd,36,69,69,48417,55108
Sive vigilem,"William Mundy (Moondaye, Munday, Monday, Mondy, Mondie)",37,70,71,52007,55109
"[Christe, qui lux es (IV)] Precamur",Robert White (Whyte),38,72,72,48817,55110
Deus venerunt gentes (parts I and II),William Byrd,39,73,74,48418,55111
Domine tu jurasti,William Byrd,40,75,76,48419,55112
Exsurge Domine,William Byrd,41,77,78,51814,55113
O sacrum convivium,"Thomas Tallis (Tallys, Talles)",42,79,80,48686,55114
Salvator mundi (II),"Thomas Tallis (Tallys, Talles)",43,81,81,48687,55115
[Deus venerunt gentes (part III)] Effuderunt,William Byrd,44,82,82,48421,55116
[Christe qui lux es] Precamur,William Byrd,45,83,84,48422,55117
Laetentur coeli,William Byrd,46,85,85,48423,55118
[Deus venerunt gentes (part IV)] Facti sumus,William Byrd,47,86,87,48424,55119
Ave Maria,Robert Parsons (1),48,88,88,48878,55120
Dum transisset sabbatum,Roose,49,89,90,52175,55121
Decantabat populus in Israel,no composer/anon,50,91,92,53759,55122
Mirabile mysterium,Alfonso the elder Ferrabosco,51,93,93,49375,55123
Miserere mei Deus,William Byrd,52,94,95,48425,55124
O bone Jesu,Robert Parsons (1),53,96,99,56841,55125
Vestigia mea dirige,Nathaniel Giles (Gyles),54,100,100,51164,55126
Lord who shall dwell,Robert White (Whyte),55,113,114,48818,55127
The Lord bless us and keep us,Robert White (Whyte),56,115,116,48819,55128
"O Lord, make thy servant, Elizabeth",William Byrd,57,117,117,48426,55129
"Prevent us, O Lord",William Byrd,58,118,118,48427,55130
How long shall mine enemies?,William Byrd,59,119,120,55935,55131
O that most rare breast,William Byrd,60,121,123,48429,55132
"Come to me, grief, for ever",William Byrd,61,124,124,48430,55133
In fields abroad,William Byrd,62,125,125,48431,55134
Where Fancy fond,William Byrd,63,126,126,48432,55135
Susanna fair,William Byrd,64,127,127,48433,55136
While Phoebus us'd to dwell,William Byrd,65,128,128,48434,55137
"Why do I use my paper, ink and pen?",William Byrd,66,129,129,48435,55138
La verginella,William Byrd,67,130,130,48436,55139
I joy not in no earthly bliss,William Byrd,68,131,131,48437,55140
"Ah, golden hairs",William Byrd,69,132,132,48438,55141
Lord in thy wrath,William Byrd,70,133,133,48439,55142
Care for thy soul,William Byrd,71,134,134,48440,55143
Browning,William Byrd,72,135,136,48441,55144
Browning,Clement Woodcock (Woodcoke; Woodecock),73,137,137,49790,55145
Miserere,Mallorie (Malery; Mallarie; Mallery; Malorie; Malory),74,138,138,50847,55146
Ascendo ad Patrem,Jean Maillard,75,139,139,30939,55147
Rubum quem,Christopher Tye,76,140,140,49484,55148
Susanne un jour d'amour solicitée par deux viellards,"Orlande de Lassus (Roland, Orlandi di Lasso)",77,140,140,26119,55149
Madonna somm' acorto,Philippe Verdelot (Deslouges),78,141,141,49830,55150
Pour vous aymer,"Phillip Van Wilder (De Villdret; de Vuildre; Vanwilder, Van Wyllender; Welder; Wild; Wildroe; Wylde)",79,141,141,51243,55151
De la court,Robert Parsons (1),80,142,143,48880,55152
Je file quand Dieu,?Robert Parsons (1),81,144,144,38380,55153
In nomine III,Robert Parsons (1),82,145,145,48881,55154
In nomine V,William Byrd,83,146,146,48442,55155
In nomine I,"Nicholas Strogers (Strowger, Strowgers)",84,147,147,49077,55156
In nomine III,Robert Parsons (1),85,148,148,48881,55157
In nomine II,"Nicholas Strogers (Strowger, Strowgers)",86,149,149,49079,55158
In nomine,"John Bull (Jan, Jean, Boul; Bul; Bol; Bouville; Bonville)",87,150,150,50387,55159
In nomine V,William Byrd,88,151,151,48442,55160
In nomine XIV ('Follow me'),Christopher Tye,89,151,151,49485,55161
In nomine I,"Nicholas Strogers (Strowger, Strowgers)",90,152,153,49077,55162
If that a sinner's sighs,William Byrd,91,154,154,48443,55163
If women could be fair,Edmund Hooper,92,155,155,48496,55164
"Prostrate, O Lord, I lie",William Byrd,93,156,156,48445,55165
Even from the depth unto thee,William Byrd,94,157,157,48446,55166
When I was otherwise than now,William Byrd,95,158,158,48447,55167
"In nomine I (a4, with added part)",Brewster (Brusser; Bruster; Brusters),96,159,160,49463,55168
"O God, wherefore art thou absent",no composer/anon,97,161,161,53760,55169
"Come, Holy Ghost/In nomine",no composer/anon,99,173,173,53761,55170
O Lord of whom I do depend/In nomine,no composer/anon,100,173,173,53762,55171
"O Lord, turn not away thy face/In nomine",no composer/anon,101,173,173,53763,55172
When May is in his prime,no composer/anon,102,174,175,53764,55173
"Ah, alas, you salt sea gods",Richard Farrant,103,176,176,48924,55174
A doleful deadly pang,"Nicholas Strogers (Strowger, Strowgers)",104,177,177,49080,55175
My little sweet darling,no composer/anon,105,177,177,53765,55176
"Ah, silly poor Joas",no composer/anon,106,178,178,53766,55177
In terrors trapp'd,no composer/anon,107,178,178,53767,55178
The saint I serve,no composer/anon,108,179,179,53768,55179
How can the tree,no composer/anon,109,179,179,53769,55180
"Alas, alack, my heart is woe",no composer/anon,110,180,180,53770,55181
"Lullaby, my sweet little baby",William Byrd,111,180,180,48448,55182
"O Lord, how vain",William Byrd,112,181,181,48449,55183
My mind to me a kingdom is,William Byrd,113,181,181,48450,55184
Who likes to love,William Byrd,114,182,182,48451,55185
Enforc'd by love and fear,Robert Parsons (1),115,182,182,48901,55186
Mistrust not truth,no composer/anon,116,183,183,53771,55187
The day delay'd,no composer/anon,117,183,183,53772,55188
Come tread the paths,no composer/anon,118,183,184,53773,55189
Triumph with pleasant melody,William Byrd,119,185,185,48452,55190
Blessed is he that fears the Lord,William Byrd,120,186,186,48453,55191
Blame I confess,William Byrd,121,186,186,48454,55192
"O Lord, within thy tabernacle",William Byrd,122,187,187,48455,55193
How shall a young man?,William Byrd,123,188,188,48456,55194
Though Amaryllis dance in green,William Byrd,124,188,189,48457,55195
Trinitas in unitate,Vincenzo Ruffo,126,192,192,52137,55196
