text_incipit_standard Copy,composerStandard,positionMS,folio_start,folio_end,compositionKey,orderNo
[Lamentations] Heth. Peccatum peccavit,Robert White (Whyte),1,3,8,48807,54700
"Miserere mei, Deus",Robert White,2,9,14,51468,54701
"[Christe, qui lux es (I)] Precamur",Robert White (Whyte),3,15,15,48809,54702
"[Christe, qui lux es (II)] Precamur",Robert White (Whyte),4,16,16,48810,54703
"[Christe, qui lux es (III)] Precamur",Robert White (Whyte),5,17,17,48811,54704
Manus tuae fecerunt me,Robert White (Whyte),6,18,21,48812,54705
"Portio mea, Domine",Robert White (Whyte),7,22,24,48813,54706
"Justus es, Domine",Robert White (Whyte),8,25,27,48814,54707
Ne irascaris,William Byrd,9,28,29,51818,54708
O Domine adjuva me,William Byrd,10,30,31,48407,54709
Tribulationes civitatum,William Byrd,11,32,33,51819,54710
Domine exaudi,William Byrd,12,34,36,51808,54711
Domine praestolamur,William Byrd,13,37,38,51817,54712
Ad te clamamus,Christopher Tye,14,39,39,49482,54713
Omnes gentes plaudite manibus,Christopher Tye,15,40,41,49483,54714
[Magnificat] Esurientes,John Sheppard (Shepherd),16,42,42,50430,54715
Angelus ad pastores ait,"Orlande de Lassus (Roland, Orlandi di Lasso)",17,43,43,30325,54716
Veni in hortum meum,"Orlande de Lassus (Roland, Orlandi di Lasso)",18,44,44,35344,54717
O salutaris hostia,"Thomas Tallis (Tallys, Talles)",19,45,45,48683,54718
Salvator mundi (I),"Thomas Tallis (Tallys, Talles)",20,46,46,48684,54719
[Candidi] Facti sunt,"Thomas Tallis (Tallys, Talles)",21,47,47,48685,54720
[Dum transisset] Sabbatum,Robert (i) Johnson,22,48,48,48908,54721
Exaudiat te Dominus,Robert White (Whyte),23,49,52,48815,54722
Tribulationem et dolorem inveni,Alfonso the elder Ferrabosco,24,53,53,49374,54723
Non me vincat Deus,"Nicholas Strogers (Strowger, Strowgers)",25,54,55,49076,54724
Dum transisset sabbatum (I),John Taverner,26,56,56,50649,54725
Tribulatio proxima est,William Byrd,27,57,58,48411,54726
Appropinquet deprecatio mea,Robert White (Whyte),28,59,63,48816,54727
Christus resurgens,John Tailer,29,64,64,51347,54728
O quam gloriosum est regnum,William Byrd,30,65,66,51801,54729
Tristitia et anxietas,William Byrd,31,67,69,48413,54730
Apparebit in finem,William Byrd,32,70,70,48414,54731
Audivi vocem de caelo,William Byrd,33,71,71,51803,54732
In resurrectione tua,William Byrd,34,72,72,48416,54733
Retribue servo tuo,Robert Parsons (1),35,73,75,48877,54734
Fac cum servo tuo,William Byrd,36,76,77,48417,54735
Sive vigilem,"William Mundy (Moondaye, Munday, Monday, Mondy, Mondie)",37,78,78,52007,54736
"[Christe, qui lux es (IV)] Precamur",Robert White (Whyte),38,79,79,48817,54737
Deus venerunt gentes (parts I and II),William Byrd,39,80,81,48418,54738
Domine tu jurasti,William Byrd,40,82,83,48419,54739
Exsurge Domine,William Byrd,41,84,85,51814,54740
O sacrum convivium,"Thomas Tallis (Tallys, Talles)",42,86,86,48686,54741
Salvator mundi (II),"Thomas Tallis (Tallys, Talles)",43,87,87,48687,54742
[Deus venerunt gentes (part III)] Effuderunt,William Byrd,44,88,88,48421,54743
[Christe qui lux es] Precamur,William Byrd,45,89,89,48422,54744
Laetentur coeli,William Byrd,46,90,91,48423,54745
[Deus venerunt gentes (part IV)] Facti sumus,William Byrd,47,92,92,48424,54746
Ave Maria,Robert Parsons (1),48,93,93,48878,54747
Dum transisset sabbatum,Roose,49,94,95,52175,54748
Decantabat populus in Israel,no composer/anon,50,96,96,53759,54749
Mirabile mysterium,Alfonso the elder Ferrabosco,51,97,98,49375,54750
Miserere mei Deus,William Byrd,52,99,99,48425,54751
O bone Jesu,Robert Parsons (1),53,100,103,56841,54752
Vestigia mea dirige,Nathaniel Giles (Gyles),54,104,108,51164,54753
Lord who shall dwell,Robert White (Whyte),55,109,110,48818,54754
The Lord bless us and keep us,Robert White (Whyte),56,111,112,48819,54755
"O Lord, make thy servant, Elizabeth",William Byrd,57,113,113,48426,54756
"Prevent us, O Lord",William Byrd,58,114,114,48427,54757
How long shall mine enemies?,William Byrd,59,115,116,55935,54758
O that most rare breast,William Byrd,60,117,119,48429,54759
"Come to me, grief, for ever",William Byrd,61,120,120,48430,54760
In fields abroad,William Byrd,62,121,121,48431,54761
Where Fancy fond,William Byrd,63,122,122,48432,54762
Susanna fair,William Byrd,64,123,123,48433,54763
While Phoebus us'd to dwell,William Byrd,65,124,124,48434,54764
"Why do I use my paper, ink and pen?",William Byrd,66,125,125,48435,54765
La verginella,William Byrd,67,126,126,48436,54766
I joy not in no earthly bliss,William Byrd,68,127,127,48437,54767
"Ah, golden hairs",William Byrd,69,128,128,48438,54768
Lord in thy wrath,William Byrd,70,129,129,48439,54769
Care for thy soul,William Byrd,71,130,130,48440,54770
Browning,Clement Woodcock (Woodcoke; Woodecock),72,131,132,49790,54771
Browning,Clement Woodcock (Woodcoke; Woodecock),73,133,133,49790,54772
Miserere,Mallorie (Malery; Mallarie; Mallery; Malorie; Malory),74,134,134,50847,54773
Ascendo ad patrem meum et patrem vestrum,Jean Maillard,75,135,135,30939,54774
