text_incipit_standard Copy,composerStandard,positionMS,folio_start,folio_end,compositionKey,orderNo
[Lamentations] Heth. Peccatum peccavit,Robert White (Whyte),1,3,8,48807,55197
"Miserere mei, Deus",Robert White,2,9,14,51468,55198
"[Christe, qui lux es (I)] Precamur",Robert White (Whyte),3,15,15,48809,55199
"[Christe, qui lux es (II)] Precamur",Robert White (Whyte),4,16,16,48810,55200
"[Christe, qui lux es (III)] Precamur",Robert White (Whyte),5,17,17,48811,55201
Manus tuae fecerunt me,Robert White (Whyte),6,18,19,48812,55202
"Portio mea, Domine",Robert White (Whyte),7,20,21,48813,55203
"Justus es, Domine",Robert White (Whyte),8,22,23,48814,55204
Ne irascaris,William Byrd,9,24,25,51818,55205
O Domine adjuva me,William Byrd,10,26,26,48407,55206
Tribulationes civitatum,William Byrd,11,27,29,51819,55207
Domine exaudi,William Byrd,12,30,31,51808,55208
Domine praestolamur,William Byrd,13,32,33,51817,55209
Ad te clamamus,Christopher Tye,14,34,34,49482,55210
Omnes gentes plaudite manibus,Christopher Tye,15,35,36,49483,55211
[Magnificat] Esurientes,John Sheppard (Shepherd),16,37,37,50430,55212
Angelus ad pastores ait,"Orlande de Lassus (Roland, Orlandi di Lasso)",17,38,38,30325,55213
Veni in hortum meum,"Orlande de Lassus (Roland, Orlandi di Lasso)",18,39,39,35344,55214
O salutaris hostia,"Thomas Tallis (Tallys, Talles)",19,40,40,48683,55215
Salvator mundi (I),"Thomas Tallis (Tallys, Talles)",20,41,41,48684,55216
[Candidi] Facti sunt,"Thomas Tallis (Tallys, Talles)",21,42,42,48685,55217
[Dum transisset] Sabbatum,Robert (i) Johnson,22,43,43,48908,55218
Exaudiat te Dominus,Robert White (Whyte),23,44,46,48815,55219
Tribulationem et dolorem inveni,Alfonso the elder Ferrabosco,24,47,47,49374,55220
Non me vincat Deus,"Nicholas Strogers (Strowger, Strowgers)",25,48,49,49076,55221
Dum transisset sabbatum (I),John Taverner,26,50,50,50649,55222
Tribulatio proxima est,William Byrd,27,51,52,48411,55223
Appropinquet deprecatio mea,Robert White (Whyte),28,53,55,48816,55224
Christus resurgens,John Tailer,29,56,56,51347,55225
O quam gloriosum est regnum,William Byrd,30,57,58,51801,55226
Tristitia et anxietas,William Byrd,31,59,60,48413,55227
Apparebit in finem,William Byrd,32,61,61,48414,55228
Audivi vocem de caelo,William Byrd,33,62,63,51803,55229
In resurrectione tua,William Byrd,34,64,64,48416,55230
Retribue servo tuo,Robert Parsons (1),35,65,67,48877,55231
Fac cum servo tuo,William Byrd,36,68,69,48417,55232
Sive vigilem,"William Mundy (Moondaye, Munday, Monday, Mondy, Mondie)",37,70,70,52007,55233
"[Christe, qui lux es (IV)] Precamur",Robert White (Whyte),38,71,72,48817,55234
Deus venerunt gentes (parts I and II),William Byrd,39,73,74,48418,55235
Domine tu jurasti,William Byrd,40,75,75,48419,55236
Exsurge Domine,William Byrd,41,76,77,51814,55237
O sacrum convivium,"Thomas Tallis (Tallys, Talles)",42,78,78,48686,55238
Salvator mundi (II),"Thomas Tallis (Tallys, Talles)",43,79,80,48687,55239
[Deus venerunt gentes (part III)] Effuderunt,William Byrd,44,81,81,48421,55240
[Christe qui lux es] Precamur,William Byrd,45,82,83,48422,55241
Laetentur coeli,William Byrd,46,84,84,48423,55242
[Deus venerunt gentes (part IV)] Facti sumus,William Byrd,47,85,85,48424,55243
Ave Maria,Robert Parsons (1),48,86,87,48878,55244
Dum transisset sabbatum,Roose,49,88,88,52175,55245
Decantabat populus in Israel,no composer/anon,50,89,89,53759,55246
Mirabile mysterium,Alfonso the elder Ferrabosco,51,90,91,49375,55247
Miserere mei Deus,William Byrd,52,92,92,48425,55248
O bone Jesu,Robert Parsons (1),53,93,95,56841,55249
Vestigia mea dirige,Nathaniel Giles (Gyles),54,96,100,51164,55250
Lord who shall dwell,Robert White (Whyte),55,101,102,48818,55251
The Lord bless us and keep us,Robert White (Whyte),56,103,104,48819,55252
"O Lord, make thy servant, Elizabeth",William Byrd,57,105,105,48426,55253
"Prevent us, O Lord",William Byrd,58,106,106,48427,55254
How long shall mine enemies?,William Byrd,59,107,108,55935,55255
O that most rare breast,William Byrd,60,109,111,48429,55256
"Come to me, grief, for ever",William Byrd,61,112,112,48430,55257
In fields abroad,William Byrd,62,113,113,48431,55258
Where Fancy fond,William Byrd,63,114,114,48432,55259
Susanna fair,William Byrd,64,115,115,48433,55260
While Phoebus us'd to dwell,William Byrd,65,116,116,48434,55261
"Why do I use my paper, ink and pen?",William Byrd,66,117,117,48435,55262
La verginella,William Byrd,67,118,118,48436,55263
I joy not in no earthly bliss,William Byrd,68,119,119,48437,55264
"Ah, golden hairs",William Byrd,69,120,120,48438,55265
Lord in thy wrath,William Byrd,70,121,121,48439,55266
Care for thy soul,William Byrd,71,122,122,48440,55267
Browning,William Byrd,72,123,124,48441,55268
Browning,Clement Woodcock (Woodcoke; Woodecock),73,125,125,49790,55269
Miserere,Mallorie (Malery; Mallarie; Mallery; Malorie; Malory),74,126,126,50847,55270
Ascendo ad Patrem,Jean Maillard,75,127,127,30939,55271
Rubum quem,Christopher Tye,76,128,128,49484,55272
Susanne un jour d'amour solicitée par deux viellards,"Orlande de Lassus (Roland, Orlandi di Lasso)",77,128,128,26119,55273
Madonna somm' acorto,Philippe Verdelot (Deslouges),78,129,129,49830,55274
Pour vous aymer,"Phillip Van Wilder (De Villdret; de Vuildre; Vanwilder, Van Wyllender; Welder; Wild; Wildroe; Wylde)",79,129,129,51243,55275
De la court,Robert Parsons (1),80,130,131,48880,55276
Je file quand Dieu,?Robert Parsons (1),81,132,132,38380,55277
In nomine III,Robert Parsons (1),82,133,133,48881,55278
In nomine V,William Byrd,83,134,134,48442,55279
In nomine I,"Nicholas Strogers (Strowger, Strowgers)",84,135,135,49077,55280
In nomine III,Robert Parsons (1),85,136,136,48881,55281
In nomine II,"Nicholas Strogers (Strowger, Strowgers)",86,137,137,49079,55282
In nomine,"John Bull (Jan, Jean, Boul; Bul; Bol; Bouville; Bonville)",87,138,138,50387,55283
In nomine V,William Byrd,88,139,139,48442,55284
In nomine XIV ('Follow me'),Christopher Tye,89,139,139,49485,55285
In nomine I,"Nicholas Strogers (Strowger, Strowgers)",90,140,141,49077,55286
If that a sinner's sighs,William Byrd,91,142,142,48443,55287
If women could be fair,Edmund Hooper,92,143,143,48496,55288
"Prostrate, O Lord, I lie",William Byrd,93,144,144,48445,55289
Even from the depth unto thee,William Byrd,94,145,145,48446,55290
When I was otherwise than now,William Byrd,95,146,146,48447,55291
"In nomine I (a4, with added part)",Brewster (Brusser; Bruster; Brusters),96,147,148,49463,55292
"O God, wherefore art thou absent",no composer/anon,97,149,149,53760,55293
"Come, Holy Ghost/In nomine",no composer/anon,99,161,161,53761,55294
O Lord of whom I do depend/In nomine,no composer/anon,100,161,161,53762,55295
"O Lord, turn not away thy face/In nomine",no composer/anon,101,161,161,53763,55296
When May is in his prime,no composer/anon,102,162,163,53764,55297
"Ah, alas, you salt sea gods",Richard Farrant,103,164,164,48924,55298
A doleful deadly pang,"Nicholas Strogers (Strowger, Strowgers)",104,165,165,49080,55299
My little sweet darling,no composer/anon,105,165,165,53765,55300
"Ah, silly poor Joas",no composer/anon,106,166,166,53766,55301
In terrors trapp'd,no composer/anon,107,166,166,53767,55302
The saint I serve,no composer/anon,108,167,167,53768,55303
How can the tree,no composer/anon,109,167,167,53769,55304
"Alas, alack, my heart is woe",no composer/anon,110,168,168,53770,55305
"Lullaby, my sweet little baby",William Byrd,111,168,168,48448,55306
"O Lord, how vain",William Byrd,112,169,169,48449,55307
My mind to me a kingdom is,William Byrd,113,169,169,48450,55308
Who likes to love,William Byrd,114,170,170,48451,55309
Enforc'd by love and fear,Robert Parsons (1),115,170,170,48901,55310
Mistrust not truth,no composer/anon,116,171,171,53771,55311
The day delay'd,no composer/anon,117,171,171,53772,55312
Come tread the paths,no composer/anon,118,171,172,53773,55313
Triumph with pleasant melody,William Byrd,119,173,173,48452,55314
Blessed is he that fears the Lord,William Byrd,120,174,174,48453,55315
Blame I confess,William Byrd,121,174,174,48454,55316
"O Lord, within thy tabernacle",William Byrd,122,175,175,48455,55317
How shall a young man?,William Byrd,123,176,176,48456,55318
Though Amaryllis dance in green,William Byrd,124,176,179,48457,55319
"Hey down, sing ye now after me",no composer/anon,127,180,180,53834,55320
